All-Genes	Genes in same transcription unit	Accession-1	Left-End-Position	Right-End-Position
USA300HOU_RS04490	USA300HOU_RS15200 // USA300HOU_RS15195 // USA300HOU_RS04490	USA300HOU_RS04490	906400	906891
USA300HOU_RS04495	USA300HOU_RS04495	USA300HOU_RS04495	907320	908288
USA300HOU_RS04500	USA300HOU_RS04500	USA300HOU_RS04500	908523	909077
USA300HOU_RS04505	USA300HOU_RS04505	USA300HOU_RS04505	910111	910305
USA300HOU_RS04510	USA300HOU_RS04510	USA300HOU_RS04510	910538	911389
USA300HOU_RS04515	USA300HOU_RS04515	USA300HOU_RS04515	911717	912478
USA300HOU_RS04520	USA300HOU_RS04520	USA300HOU_RS04520	912576	913883
USA300HOU_RS04525	USA300HOU_RS04530 // USA300HOU_RS04525	USA300HOU_RS04525	913989	915239
USA300HOU_RS04530	USA300HOU_RS04530 // USA300HOU_RS04525	USA300HOU_RS04530	915229	915693
USA300HOU_RS04535	USA300HOU_RS04535	USA300HOU_RS04535	915844	917241
USA300HOU_RS04540	USA300HOU_RS04540	USA300HOU_RS04540	917428	917565
USA300HOU_RS04545	USA300HOU_RS04545	USA300HOU_RS04545	917571	917885
USA300HOU_RS04550	USA300HOU_RS04555 // USA300HOU_RS04550	USA300HOU_RS04550	918250	919290
USA300HOU_RS04555	USA300HOU_RS04555 // USA300HOU_RS04550	USA300HOU_RS04555	919304	920371
USA300HOU_RS04560	USA300HOU_RS04560	USA300HOU_RS04560	920438	920536
USA300HOU_RS04565	USA300HOU_RS04575 // USA300HOU_RS04570 // USA300HOU_RS04565	USA300HOU_RS04565	920584	921432
USA300HOU_RS04570	USA300HOU_RS04575 // USA300HOU_RS04570 // USA300HOU_RS04565	USA300HOU_RS04570	921445	922272
USA300HOU_RS04575	USA300HOU_RS04575 // USA300HOU_RS04570 // USA300HOU_RS04565	USA300HOU_RS04575	922299	923618
USA300HOU_RS04580	USA300HOU_RS04580	USA300HOU_RS04580	923702	924619
USA300HOU_RS04585	USA300HOU_RS04585	USA300HOU_RS04585	924749	925132
USA300HOU_RS04590	USA300HOU_RS04590	USA300HOU_RS04590	925211	925477
USA300HOU_RS04595	USA300HOU_RS04605 // USA300HOU_RS04600 // USA300HOU_RS04595	USA300HOU_RS04595	925575	926009
USA300HOU_RS04600	USA300HOU_RS04605 // USA300HOU_RS04600 // USA300HOU_RS04595	USA300HOU_RS04600	926009	926788
USA300HOU_RS04605	USA300HOU_RS04605 // USA300HOU_RS04600 // USA300HOU_RS04595	USA300HOU_RS04605	926821	927780
USA300HOU_RS04610	USA300HOU_RS04610	USA300HOU_RS04610	928034	928144
USA300HOU_RS04615	USA300HOU_RS04635 // USA300HOU_RS04630 // USA300HOU_RS04625 // USA300HOU_RS04620 // USA300HOU_RS04615	USA300HOU_RS04615	928192	928344
USA300HOU_RS04620	USA300HOU_RS04635 // USA300HOU_RS04630 // USA300HOU_RS04625 // USA300HOU_RS04620 // USA300HOU_RS04615	USA300HOU_RS04620	928360	929817
USA300HOU_RS04625	USA300HOU_RS04635 // USA300HOU_RS04630 // USA300HOU_RS04625 // USA300HOU_RS04620 // USA300HOU_RS04615	USA300HOU_RS04625	929814	931028
USA300HOU_RS04630	USA300HOU_RS04635 // USA300HOU_RS04630 // USA300HOU_RS04625 // USA300HOU_RS04620 // USA300HOU_RS04615	USA300HOU_RS04630	931046	931282
USA300HOU_RS04635	USA300HOU_RS04635 // USA300HOU_RS04630 // USA300HOU_RS04625 // USA300HOU_RS04620 // USA300HOU_RS04615	USA300HOU_RS04635	931279	932454
USA300HOU_RS04640	USA300HOU_RS04640	USA300HOU_RS04640	932717	932959
USA300HOU_RS04645	USA300HOU_RS04645	USA300HOU_RS04645	933060	933383
USA300HOU_RS04650	USA300HOU_RS04650	USA300HOU_RS04650	933442	934506
USA300HOU_RS04655	USA300HOU_RS04660 // USA300HOU_RS04655	USA300HOU_RS04655	934823	935059
USA300HOU_RS04660	USA300HOU_RS04660 // USA300HOU_RS04655	USA300HOU_RS04660	935072	935431
USA300HOU_RS04665	USA300HOU_RS04665	USA300HOU_RS04665	935885	937093
USA300HOU_RS04670	USA300HOU_RS04670	USA300HOU_RS04670	937224	938699
USA300HOU_RS04675	USA300HOU_RS04680 // USA300HOU_RS04675	USA300HOU_RS04675	939110	940426
USA300HOU_RS04680	USA300HOU_RS04680 // USA300HOU_RS04675	USA300HOU_RS04680	940445	940819
USA300HOU_RS04685	USA300HOU_RS04685	USA300HOU_RS04685	940875	942029
USA300HOU_RS04690	USA300HOU_RS04690	USA300HOU_RS04690	942278	942634
USA300HOU_RS04695	USA300HOU_RS04720 // USA300HOU_RS04715 // USA300HOU_RS04710 // USA300HOU_RS04705 // USA300HOU_RS04700 // USA300HOU_RS04695	USA300HOU_RS04695	942612	942905
USA300HOU_RS04700	USA300HOU_RS04720 // USA300HOU_RS04715 // USA300HOU_RS04710 // USA300HOU_RS04705 // USA300HOU_RS04700 // USA300HOU_RS04695	USA300HOU_RS04700	942905	943384
USA300HOU_RS04705	USA300HOU_RS04720 // USA300HOU_RS04715 // USA300HOU_RS04710 // USA300HOU_RS04705 // USA300HOU_RS04700 // USA300HOU_RS04695	USA300HOU_RS04705	943386	944882
USA300HOU_RS04710	USA300HOU_RS04720 // USA300HOU_RS04715 // USA300HOU_RS04710 // USA300HOU_RS04705 // USA300HOU_RS04700 // USA300HOU_RS04695	USA300HOU_RS04710	944875	945204
USA300HOU_RS04715	USA300HOU_RS04720 // USA300HOU_RS04715 // USA300HOU_RS04710 // USA300HOU_RS04705 // USA300HOU_RS04700 // USA300HOU_RS04695	USA300HOU_RS04715	945216	945644
USA300HOU_RS04720	USA300HOU_RS04720 // USA300HOU_RS04715 // USA300HOU_RS04710 // USA300HOU_RS04705 // USA300HOU_RS04700 // USA300HOU_RS04695	USA300HOU_RS04720	945637	948042
USA300HOU_RS04725	USA300HOU_RS04725	USA300HOU_RS04725	948173	948556
USA300HOU_RS04730	USA300HOU_RS04730	USA300HOU_RS04730	948620	949213
USA300HOU_RS04735	USA300HOU_RS04735	USA300HOU_RS04735	949629	950006
USA300HOU_RS04740	USA300HOU_RS04740	USA300HOU_RS04740	950368	951495
USA300HOU_RS04745	USA300HOU_RS04745	USA300HOU_RS04745	951803	952993
USA300HOU_RS04750	USA300HOU_RS04750	USA300HOU_RS04750	953102	954346
USA300HOU_RS04760	USA300HOU_RS04760	USA300HOU_RS04760	954849	955778
USA300HOU_RS04765	USA300HOU_RS04770 // USA300HOU_RS04765	USA300HOU_RS04765	956020	957399
USA300HOU_RS04770	USA300HOU_RS04770 // USA300HOU_RS04765	USA300HOU_RS04770	957389	958594
USA300HOU_RS04775	USA300HOU_RS04775	USA300HOU_RS04775	958945	960276
USA300HOU_RS04780	USA300HOU_RS04790 // USA300HOU_RS04785 // USA300HOU_RS04780	USA300HOU_RS04780	960601	961176
USA300HOU_RS04785	USA300HOU_RS04790 // USA300HOU_RS04785 // USA300HOU_RS04780	USA300HOU_RS04785	961181	961705
USA300HOU_RS04790	USA300HOU_RS04790 // USA300HOU_RS04785 // USA300HOU_RS04780	USA300HOU_RS04790	961721	962296
USA300HOU_RS04795	USA300HOU_RS04800 // USA300HOU_RS04795	USA300HOU_RS04795	962456	965932
USA300HOU_RS04800	USA300HOU_RS04800 // USA300HOU_RS04795	USA300HOU_RS04800	965933	969586
USA300HOU_RS04805	USA300HOU_RS04805	USA300HOU_RS04805	969752	970654
USA300HOU_RS04810	USA300HOU_RS04810	USA300HOU_RS04810	970983	971372
USA300HOU_RS04815	USA300HOU_RS04815	USA300HOU_RS04815	971543	972859
USA300HOU_RS04820	USA300HOU_RS04820	USA300HOU_RS04820	972911	973735
USA300HOU_RS04825	USA300HOU_RS04825	USA300HOU_RS04825	973849	974157
USA300HOU_RS04830	USA300HOU_RS04830	USA300HOU_RS04830	974704	976518
USA300HOU_RS04835	USA300HOU_RS04835	USA300HOU_RS04835	976721	979330
USA300HOU_RS04840	USA300HOU_RS04840	USA300HOU_RS04840	979389	980258
USA300HOU_RS04845	USA300HOU_RS04860 // USA300HOU_RS04855 // USA300HOU_RS04850 // USA300HOU_RS04845	USA300HOU_RS04845	980368	981513
USA300HOU_RS04850	USA300HOU_RS04860 // USA300HOU_RS04855 // USA300HOU_RS04850 // USA300HOU_RS04845	USA300HOU_RS04850	981497	982138
USA300HOU_RS04855	USA300HOU_RS04860 // USA300HOU_RS04855 // USA300HOU_RS04850 // USA300HOU_RS04845	USA300HOU_RS04855	982131	983249
USA300HOU_RS04860	USA300HOU_RS04860 // USA300HOU_RS04855 // USA300HOU_RS04850 // USA300HOU_RS04845	USA300HOU_RS04860	983233	983748
USA300HOU_RS04865	USA300HOU_RS04865	USA300HOU_RS04865	984059	984493
USA300HOU_RS04870	USA300HOU_RS04870	USA300HOU_RS04870	984750	984935
USA300HOU_RS04875	USA300HOU_RS04880 // USA300HOU_RS04875	USA300HOU_RS04875	985230	986171
USA300HOU_RS04880	USA300HOU_RS04880 // USA300HOU_RS04875	USA300HOU_RS04880	986183	987427
USA300HOU_RS04885	USA300HOU_RS04885	USA300HOU_RS04885	987482	987853
USA300HOU_RS04890	USA300HOU_RS04910 // USA300HOU_RS04905 // USA300HOU_RS04900 // USA300HOU_RS04895 // USA300HOU_RS04890	USA300HOU_RS04890	988096	989022
USA300HOU_RS04895	USA300HOU_RS04910 // USA300HOU_RS04905 // USA300HOU_RS04900 // USA300HOU_RS04895 // USA300HOU_RS04890	USA300HOU_RS04895	989022	990092
USA300HOU_RS04900	USA300HOU_RS04910 // USA300HOU_RS04905 // USA300HOU_RS04900 // USA300HOU_RS04895 // USA300HOU_RS04890	USA300HOU_RS04900	990109	991191
USA300HOU_RS04905	USA300HOU_RS04910 // USA300HOU_RS04905 // USA300HOU_RS04900 // USA300HOU_RS04895 // USA300HOU_RS04890	USA300HOU_RS04905	991181	992122
USA300HOU_RS04910	USA300HOU_RS04910 // USA300HOU_RS04905 // USA300HOU_RS04900 // USA300HOU_RS04895 // USA300HOU_RS04890	USA300HOU_RS04910	992141	993796
USA300HOU_RS04915	USA300HOU_RS04915	USA300HOU_RS04915	994008	995723
USA300HOU_RS04920	USA300HOU_RS04935 // USA300HOU_RS04930 // USA300HOU_RS04925 // USA300HOU_RS04920	USA300HOU_RS04920	995774	996760
USA300HOU_RS04925	USA300HOU_RS04935 // USA300HOU_RS04930 // USA300HOU_RS04925 // USA300HOU_RS04920	USA300HOU_RS04925	996763	997743
USA300HOU_RS04930	USA300HOU_RS04935 // USA300HOU_RS04930 // USA300HOU_RS04925 // USA300HOU_RS04920	USA300HOU_RS04930	997736	998698
USA300HOU_RS04935	USA300HOU_RS04935 // USA300HOU_RS04930 // USA300HOU_RS04925 // USA300HOU_RS04920	USA300HOU_RS04935	998710	999591
USA300HOU_RS04940	USA300HOU_RS04940	USA300HOU_RS04940	999633	1000622
USA300HOU_RS04945	USA300HOU_RS04945	USA300HOU_RS04945	1000917	1001312
USA300HOU_RS04950	USA300HOU_RS04950	USA300HOU_RS04950	1001683	1002402
USA300HOU_RS04955	USA300HOU_RS04955	USA300HOU_RS04955	1002864	1003508
USA300HOU_RS04960	USA300HOU_RS04960	USA300HOU_RS04960	1003556	1005364
USA300HOU_RS04965	USA300HOU_RS04970 // USA300HOU_RS04965	USA300HOU_RS04965	1005824	1006630
USA300HOU_RS04970	USA300HOU_RS04970 // USA300HOU_RS04965	USA300HOU_RS04970	1006653	1007018
USA300HOU_RS04975	USA300HOU_RS04975	USA300HOU_RS04975	1007122	1007715
USA300HOU_RS04980	USA300HOU_RS05005 // USA300HOU_RS05000 // USA300HOU_RS04995 // USA300HOU_RS04990 // USA300HOU_RS04985 // USA300HOU_RS04980	USA300HOU_RS04980	1007901	1008248
USA300HOU_RS04985	USA300HOU_RS05005 // USA300HOU_RS05000 // USA300HOU_RS04995 // USA300HOU_RS04990 // USA300HOU_RS04985 // USA300HOU_RS04980	USA300HOU_RS04985	1008265	1008900
USA300HOU_RS04990	USA300HOU_RS05005 // USA300HOU_RS05000 // USA300HOU_RS04995 // USA300HOU_RS04990 // USA300HOU_RS04985 // USA300HOU_RS04980	USA300HOU_RS04990	1008917	1009726
USA300HOU_RS04995	USA300HOU_RS05005 // USA300HOU_RS05000 // USA300HOU_RS04995 // USA300HOU_RS04990 // USA300HOU_RS04985 // USA300HOU_RS04980	USA300HOU_RS04995	1009723	1010577
USA300HOU_RS05000	USA300HOU_RS05005 // USA300HOU_RS05000 // USA300HOU_RS04995 // USA300HOU_RS04990 // USA300HOU_RS04985 // USA300HOU_RS04980	USA300HOU_RS05000	1010598	1011983
USA300HOU_RS05005	USA300HOU_RS05005 // USA300HOU_RS05000 // USA300HOU_RS04995 // USA300HOU_RS04990 // USA300HOU_RS04985 // USA300HOU_RS04980	USA300HOU_RS05005	1011993	1013837
USA300HOU_RS05010	USA300HOU_RS05010	USA300HOU_RS05010	1014115	1014885
USA300HOU_RS05015	USA300HOU_RS05015	USA300HOU_RS05015	1015080	1016165
USA300HOU_RS05020	USA300HOU_RS05020	USA300HOU_RS05020	1016507	1018075
USA300HOU_RS05025	USA300HOU_RS05025	USA300HOU_RS05025	1018217	1018975
USA300HOU_RS05030	USA300HOU_RS05030	USA300HOU_RS05030	1019169	1019678
USA300HOU_RS05035	USA300HOU_RS05040 // USA300HOU_RS05035	USA300HOU_RS05035	1019791	1020999
USA300HOU_RS05040	USA300HOU_RS05040 // USA300HOU_RS05035	USA300HOU_RS05040	1020959	1022134
USA300HOU_RS05045	USA300HOU_RS05055 // USA300HOU_RS05050 // USA300HOU_RS05045	USA300HOU_RS05045	1022567	1024048
USA300HOU_RS05050	USA300HOU_RS05055 // USA300HOU_RS05050 // USA300HOU_RS05045	USA300HOU_RS05050	1024032	1024292
USA300HOU_RS05055	USA300HOU_RS05055 // USA300HOU_RS05050 // USA300HOU_RS05045	USA300HOU_RS05055	1024292	1025854
USA300HOU_RS05060	USA300HOU_RS05060	USA300HOU_RS05060	1026156	1026959
USA300HOU_RS05065	USA300HOU_RS05070 // USA300HOU_RS05065	USA300HOU_RS05065	1027178	1029502
USA300HOU_RS05070	USA300HOU_RS05070 // USA300HOU_RS05065	USA300HOU_RS05070	1029519	1030877
USA300HOU_RS05075	USA300HOU_RS05075	USA300HOU_RS05075	1031016	1032527
USA300HOU_RS05080	USA300HOU_RS05085 // USA300HOU_RS05080	USA300HOU_RS05080	1032707	1032795
USA300HOU_RS05085	USA300HOU_RS05085 // USA300HOU_RS05080	USA300HOU_RS05085	1032798	1032872
USA300HOU_RS05090	USA300HOU_RS05090	USA300HOU_RS05090	1033014	1033583
USA300HOU_RS05095	USA300HOU_RS05095	USA300HOU_RS05095	1033793	1034011
USA300HOU_RS05100	USA300HOU_RS05100	USA300HOU_RS05100	1034092	1035078
USA300HOU_RS05105	USA300HOU_RS05110 // USA300HOU_RS05105	USA300HOU_RS05105	1035277	1035453
USA300HOU_RS05110	USA300HOU_RS05110 // USA300HOU_RS05105	USA300HOU_RS05110	1035468	1036070
USA300HOU_RS05115	USA300HOU_RS05115	USA300HOU_RS05115	1036341	1036448
USA300HOU_RS05120	USA300HOU_RS15225 // USA300HOU_RS05120	USA300HOU_RS05120	1036987	1037088
USA300HOU_RS05125	USA300HOU_RS05135 // USA300HOU_RS05130 // USA300HOU_RS05125	USA300HOU_RS05125	1037414	1039378
USA300HOU_RS05130	USA300HOU_RS05135 // USA300HOU_RS05130 // USA300HOU_RS05125	USA300HOU_RS05130	1039381	1039701
USA300HOU_RS05135	USA300HOU_RS05135 // USA300HOU_RS05130 // USA300HOU_RS05125	USA300HOU_RS05135	1039698	1040339
USA300HOU_RS05145	USA300HOU_RS05150 // USA300HOU_RS05145	USA300HOU_RS05145	1040996	1041283
USA300HOU_RS05150	USA300HOU_RS05150 // USA300HOU_RS05145	USA300HOU_RS05150	1041289	1042770
USA300HOU_RS05155	USA300HOU_RS05155	USA300HOU_RS05155	1042859	1043215
USA300HOU_RS05160	USA300HOU_RS05160	USA300HOU_RS05160	1043692	1044651
USA300HOU_RS05165	USA300HOU_RS05165	USA300HOU_RS05165	1044697	1044828
USA300HOU_RS05170	USA300HOU_RS05170	USA300HOU_RS05170	1044892	1045182
USA300HOU_RS05175	USA300HOU_RS05175	USA300HOU_RS05175	1045272	1045823
USA300HOU_RS05180	USA300HOU_RS05180	USA300HOU_RS05180	1045875	1046813
USA300HOU_RS05185	USA300HOU_RS05200 // USA300HOU_RS05195 // USA300HOU_RS05190 // USA300HOU_RS05185	USA300HOU_RS05185	1047145	1048356
USA300HOU_RS05190	USA300HOU_RS05200 // USA300HOU_RS05195 // USA300HOU_RS05190 // USA300HOU_RS05185	USA300HOU_RS05190	1048343	1050016
USA300HOU_RS05195	USA300HOU_RS05200 // USA300HOU_RS05195 // USA300HOU_RS05190 // USA300HOU_RS05185	USA300HOU_RS05195	1050003	1050806
USA300HOU_RS05200	USA300HOU_RS05200 // USA300HOU_RS05195 // USA300HOU_RS05190 // USA300HOU_RS05185	USA300HOU_RS05200	1050799	1051620
USA300HOU_RS05205	USA300HOU_RS05210 // USA300HOU_RS05205	USA300HOU_RS05205	1051859	1052188
USA300HOU_RS05210	USA300HOU_RS05210 // USA300HOU_RS05205	USA300HOU_RS05210	1052226	1053407
USA300HOU_RS05215	USA300HOU_RS05215	USA300HOU_RS05215	1053489	1054499
USA300HOU_RS05220	USA300HOU_RS05220	USA300HOU_RS05220	1055027	1056181
USA300HOU_RS05225	USA300HOU_RS05225	USA300HOU_RS05225	1056377	1057387
USA300HOU_RS05230	USA300HOU_RS05235 // USA300HOU_RS05230	USA300HOU_RS05230	1057540	1057959
USA300HOU_RS05235	USA300HOU_RS05235 // USA300HOU_RS05230	USA300HOU_RS05235	1057986	1058096
USA300HOU_RS05240	USA300HOU_RS05240	USA300HOU_RS05240	1058166	1061936
USA300HOU_RS05245	USA300HOU_RS05245	USA300HOU_RS05245	1062164	1062598
USA300HOU_RS05250	USA300HOU_RS05250	USA300HOU_RS05250	1062753	1063223
USA300HOU_RS05255	USA300HOU_RS05255	USA300HOU_RS05255	1063271	1064488
USA300HOU_RS05260	USA300HOU_RS05260	USA300HOU_RS05260	1064939	1066132
USA300HOU_RS05265	USA300HOU_RS05280 // USA300HOU_RS05275 // USA300HOU_RS05270 // USA300HOU_RS05265	USA300HOU_RS05265	1066669	1066959
USA300HOU_RS05270	USA300HOU_RS05280 // USA300HOU_RS05275 // USA300HOU_RS05270 // USA300HOU_RS05265	USA300HOU_RS05270	1066956	1067561
USA300HOU_RS05275	USA300HOU_RS05280 // USA300HOU_RS05275 // USA300HOU_RS05270 // USA300HOU_RS05265	USA300HOU_RS05275	1067551	1069539
USA300HOU_RS05280	USA300HOU_RS05280 // USA300HOU_RS05275 // USA300HOU_RS05270 // USA300HOU_RS05265	USA300HOU_RS05280	1069539	1070639
USA300HOU_RS05285	USA300HOU_RS05285	USA300HOU_RS05285	1070941	1071063
USA300HOU_RS05290	USA300HOU_RS05290	USA300HOU_RS05290	1071211	1071528
USA300HOU_RS05295	USA300HOU_RS05295	USA300HOU_RS05295	1072333	1073193
USA300HOU_RS05300	USA300HOU_RS05350 // USA300HOU_RS05345 // USA300HOU_RS05340 // USA300HOU_RS05335 // USA300HOU_RS05330 // USA300HOU_RS05325 // USA300HOU_RS05320 // USA300HOU_RS05315 // USA300HOU_RS05310 // USA300HOU_RS05305 // USA300HOU_RS05300	USA300HOU_RS05300	1073412	1073876
USA300HOU_RS05305	USA300HOU_RS05350 // USA300HOU_RS05345 // USA300HOU_RS05340 // USA300HOU_RS05335 // USA300HOU_RS05330 // USA300HOU_RS05325 // USA300HOU_RS05320 // USA300HOU_RS05315 // USA300HOU_RS05310 // USA300HOU_RS05305 // USA300HOU_RS05300	USA300HOU_RS05305	1073863	1074987
USA300HOU_RS05310	USA300HOU_RS05350 // USA300HOU_RS05345 // USA300HOU_RS05340 // USA300HOU_RS05335 // USA300HOU_RS05330 // USA300HOU_RS05325 // USA300HOU_RS05320 // USA300HOU_RS05315 // USA300HOU_RS05310 // USA300HOU_RS05305 // USA300HOU_RS05300	USA300HOU_RS05310	1074991	1075695
USA300HOU_RS05315	USA300HOU_RS05350 // USA300HOU_RS05345 // USA300HOU_RS05340 // USA300HOU_RS05335 // USA300HOU_RS05330 // USA300HOU_RS05325 // USA300HOU_RS05320 // USA300HOU_RS05315 // USA300HOU_RS05310 // USA300HOU_RS05305 // USA300HOU_RS05300	USA300HOU_RS05315	1075695	1075958
USA300HOU_RS05320	USA300HOU_RS05350 // USA300HOU_RS05345 // USA300HOU_RS05340 // USA300HOU_RS05335 // USA300HOU_RS05330 // USA300HOU_RS05325 // USA300HOU_RS05320 // USA300HOU_RS05315 // USA300HOU_RS05310 // USA300HOU_RS05305 // USA300HOU_RS05300	USA300HOU_RS05320	1075960	1076631
USA300HOU_RS05325	USA300HOU_RS05350 // USA300HOU_RS05345 // USA300HOU_RS05340 // USA300HOU_RS05335 // USA300HOU_RS05330 // USA300HOU_RS05325 // USA300HOU_RS05320 // USA300HOU_RS05315 // USA300HOU_RS05310 // USA300HOU_RS05305 // USA300HOU_RS05300	USA300HOU_RS05325	1076624	1078813
USA300HOU_RS05330	USA300HOU_RS05350 // USA300HOU_RS05345 // USA300HOU_RS05340 // USA300HOU_RS05335 // USA300HOU_RS05330 // USA300HOU_RS05325 // USA300HOU_RS05320 // USA300HOU_RS05315 // USA300HOU_RS05310 // USA300HOU_RS05305 // USA300HOU_RS05300	USA300HOU_RS05330	1078792	1080276
USA300HOU_RS05335	USA300HOU_RS05350 // USA300HOU_RS05345 // USA300HOU_RS05340 // USA300HOU_RS05335 // USA300HOU_RS05330 // USA300HOU_RS05325 // USA300HOU_RS05320 // USA300HOU_RS05315 // USA300HOU_RS05310 // USA300HOU_RS05305 // USA300HOU_RS05300	USA300HOU_RS05335	1080269	1081297
USA300HOU_RS05340	USA300HOU_RS05350 // USA300HOU_RS05345 // USA300HOU_RS05340 // USA300HOU_RS05335 // USA300HOU_RS05330 // USA300HOU_RS05325 // USA300HOU_RS05320 // USA300HOU_RS05315 // USA300HOU_RS05310 // USA300HOU_RS05305 // USA300HOU_RS05300	USA300HOU_RS05340	1081300	1081866
USA300HOU_RS05345	USA300HOU_RS05350 // USA300HOU_RS05345 // USA300HOU_RS05340 // USA300HOU_RS05335 // USA300HOU_RS05330 // USA300HOU_RS05325 // USA300HOU_RS05320 // USA300HOU_RS05315 // USA300HOU_RS05310 // USA300HOU_RS05305 // USA300HOU_RS05300	USA300HOU_RS05345	1081881	1083359
USA300HOU_RS05350	USA300HOU_RS05350 // USA300HOU_RS05345 // USA300HOU_RS05340 // USA300HOU_RS05335 // USA300HOU_RS05330 // USA300HOU_RS05325 // USA300HOU_RS05320 // USA300HOU_RS05315 // USA300HOU_RS05310 // USA300HOU_RS05305 // USA300HOU_RS05300	USA300HOU_RS05350	1083381	1084628
USA300HOU_RS05355	USA300HOU_RS05365 // USA300HOU_RS05360 // USA300HOU_RS05355	USA300HOU_RS05355	1084893	1085699
USA300HOU_RS05360	USA300HOU_RS05365 // USA300HOU_RS05360 // USA300HOU_RS05355	USA300HOU_RS05360	1085692	1087092
USA300HOU_RS05365	USA300HOU_RS05365 // USA300HOU_RS05360 // USA300HOU_RS05355	USA300HOU_RS05365	1087107	1087682
USA300HOU_RS05370	USA300HOU_RS05370	USA300HOU_RS05370	1088046	1088165
USA300HOU_RS05375	USA300HOU_RS05375	USA300HOU_RS05375	1088266	1088400
USA300HOU_RS05380	USA300HOU_RS05380	USA300HOU_RS05380	1088552	1089847
USA300HOU_RS05385	USA300HOU_RS05385	USA300HOU_RS05385	1090272	1091444
USA300HOU_RS05390	USA300HOU_RS05390	USA300HOU_RS05390	1091498	1092040
USA300HOU_RS05395	USA300HOU_RS05400 // USA300HOU_RS05395	USA300HOU_RS05395	1092194	1092460
USA300HOU_RS05400	USA300HOU_RS05400 // USA300HOU_RS05395	USA300HOU_RS05400	1092463	1094181
USA300HOU_RS05405	USA300HOU_RS05405	USA300HOU_RS05405	1094418	1094651
USA300HOU_RS05410	USA300HOU_RS05415 // USA300HOU_RS05410	USA300HOU_RS05410	1094849	1096210
USA300HOU_RS05415	USA300HOU_RS05415 // USA300HOU_RS05410	USA300HOU_RS05415	1096207	1097226
USA300HOU_RS05420	USA300HOU_RS05425 // USA300HOU_RS05420	USA300HOU_RS05420	1097359	1098021
USA300HOU_RS05425	USA300HOU_RS05425 // USA300HOU_RS05420	USA300HOU_RS05425	1098039	1098194
USA300HOU_RS05430	USA300HOU_RS05440 // USA300HOU_RS05435 // USA300HOU_RS05430	USA300HOU_RS05430	1098370	1100067
USA300HOU_RS05435	USA300HOU_RS05440 // USA300HOU_RS05435 // USA300HOU_RS05430	USA300HOU_RS05435	1100067	1100285
USA300HOU_RS05440	USA300HOU_RS05440 // USA300HOU_RS05435 // USA300HOU_RS05430	USA300HOU_RS05440	1100314	1100436
USA300HOU_RS05445	USA300HOU_RS05445	USA300HOU_RS05445	1100766	1101317
USA300HOU_RS05450	USA300HOU_RS05450	USA300HOU_RS05450	1101682	1102308
USA300HOU_RS05455	USA300HOU_RS05460 // USA300HOU_RS05455	USA300HOU_RS05455	1102479	1103591
USA300HOU_RS05460	USA300HOU_RS05460 // USA300HOU_RS05455	USA300HOU_RS05460	1103595	1104572
USA300HOU_RS05465	USA300HOU_RS05470 // USA300HOU_RS05465	USA300HOU_RS05465	1104663	1105955
USA300HOU_RS05470	USA300HOU_RS05470 // USA300HOU_RS05465	USA300HOU_RS05470	1105959	1107365
USA300HOU_RS05475	USA300HOU_RS05475	USA300HOU_RS05475	1107533	1107808
USA300HOU_RS05480	USA300HOU_RS05500 // USA300HOU_RS05495 // USA300HOU_RS05490 // USA300HOU_RS05485 // USA300HOU_RS05480	USA300HOU_RS05480	1107952	1108491
USA300HOU_RS05485	USA300HOU_RS05500 // USA300HOU_RS05495 // USA300HOU_RS05490 // USA300HOU_RS05485 // USA300HOU_RS05480	USA300HOU_RS05485	1108504	1109598
USA300HOU_RS05490	USA300HOU_RS05500 // USA300HOU_RS05495 // USA300HOU_RS05490 // USA300HOU_RS05485 // USA300HOU_RS05480	USA300HOU_RS05490	1109591	1110388
USA300HOU_RS05495	USA300HOU_RS05500 // USA300HOU_RS05495 // USA300HOU_RS05490 // USA300HOU_RS05485 // USA300HOU_RS05480	USA300HOU_RS05495	1110394	1111203
USA300HOU_RS05500	USA300HOU_RS05500 // USA300HOU_RS05495 // USA300HOU_RS05490 // USA300HOU_RS05485 // USA300HOU_RS05480	USA300HOU_RS05500	1111203	1112276
USA300HOU_RS05505	USA300HOU_RS05505	USA300HOU_RS05505	1112350	1113369
USA300HOU_RS05510	USA300HOU_RS05510	USA300HOU_RS05510	1113652	1114071
USA300HOU_RS05515	USA300HOU_RS05515	USA300HOU_RS05515	1114153	1115505
USA300HOU_RS05520	USA300HOU_RS05520	USA300HOU_RS05520	1115689	1116303
USA300HOU_RS05525	USA300HOU_RS05525	USA300HOU_RS05525	1116460	1117287
USA300HOU_RS05530	USA300HOU_RS05530	USA300HOU_RS05530	1117441	1117632
USA300HOU_RS05535	USA300HOU_RS05535	USA300HOU_RS05535	1117734	1119581
USA300HOU_RS05540	USA300HOU_RS05545 // USA300HOU_RS05540	USA300HOU_RS05540	1119721	1119888
USA300HOU_RS05545	USA300HOU_RS05545 // USA300HOU_RS05540	USA300HOU_RS05545	1119890	1120372
USA300HOU_RS05550	USA300HOU_RS05550	USA300HOU_RS05550	1120513	1120788
USA300HOU_RS05555	USA300HOU_RS05555	USA300HOU_RS05555	1121102	1122328
USA300HOU_RS05560	USA300HOU_RS05560	USA300HOU_RS05560	1122882	1126334
